GCA023416895	Bacteria	Bacillota	Clostridia	Christensenellales	CAG-138	UBA7707	UBA7707 sp023416895
GCA023416955	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Caproiciproducens	Caproiciproducens sp023416955
GCA023416965	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Phreatobacteraceae	Phreatobacter	Phreatobacter sp023416965
GCA023416995	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	DATHKG01	DATHKG01 sp023416995
GCA023417065	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ohtaekwangia	Ohtaekwangia sp023417065
GCA023417165	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	JAEZGD01	JAEZGD01 sp023417165
GCA023417265	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	Ilumatobacter sp023417265
GCA023417285	Bacteria	Bacillota	Clostridia	Acetivibrionales	DSM-27016	Ruminiclostridium	Ruminiclostridium sp023417285
GCA023417315	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	JAAYXG01	JAAYXG01 sp023417315
GCA023417475	Bacteria	Bacillota	UBA4882	UBA8346	UBA8346	Hydrogenispora	Hydrogenispora sp023417475
GCA023417515	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Allosphingosinicella	Allosphingosinicella sp023417515
GCA023417635	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Thermocaproicibacter	Thermocaproicibacter sp023417635
GCA023417655	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomicrobium	Planctomicrobium sp023417655
GCA023417665	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ga0077548	Ga0077548 sp023417665
GCA023417735	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Afifellaceae	Propylenella	Propylenella sp023417735
GCA023417745	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Solidesulfovibrio	Solidesulfovibrio sp023417745
GCA023417775	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium sp023417775
GCA023417785	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ohtaekwangia	Ohtaekwangia sp023417785
GCA023417815	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp023417815
GCA023417885	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	JAEZED01	JAEZED01	JAEZED01 sp023417885
GCA023417935	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Lentimicrobiaceae	Lentimicrobium	Lentimicrobium sp023417935
GCA023417955	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ohtaekwangia	Ohtaekwangia sp023417955
GCA023417975	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	JAEZDX01	JAEZDX01 sp023417975
GCA023417985	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Rhodococcus	Rhodococcus sp023417985
